username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
napernurse;2016-09-16 22:09;0;0;@SenatorDurbin @SenatorKirk our #HospitalHeroes do amazing work. Here's 50+ reasons to protect #patientcare in IL. http:// bit.ly/2cYf3GM;;@SenatorDurbin @SenatorKirk;#HospitalHeroes #patientcare;7.76876E+17;https://twitter.com/napernurse/status/776875631984410624;
ErinLichnovsky;2016-09-16 21:36;0;0;@SenatorKirk Another generation of parentless children destroying America. #DontDraftOurDaughters #PJNET http:// PatriotJournalist.com/DontDraftOurDa ughtersPix.php?GUID=57daa2a94c8d56.93294021_90 …;;@SenatorKirk;#DontDraftOurDaughters #PJNET;7.76867E+17;https://twitter.com/ErinLichnovsky/status/776867384338489344;
CrainsChicago;2016-09-16 21:27;0;0;. @SenatorKirk , @TammyforIL spar over latest refugee plan http:// cra.in/8wGYygR via @greghinz;;@SenatorKirk @TammyforIL @greghinz;;7.76865E+17;https://twitter.com/CrainsChicago/status/776865179812425728;
AACNPolicy;2016-09-16 21:02;0;2;@SenatorKirk co-sponsored S.3245 - the Title VIII Nursing Workforce Reauthorization Act. Thank you! #NursingEducation;;@SenatorKirk;#NursingEducation;7.76859E+17;https://twitter.com/AACNPolicy/status/776858828566560770;
Nature_IL;2016-09-16 20:24;0;0;Thank you @SenatorDurbin and @SenatorKirk for supporting #WRDA & its #nature -based solutions!;;@SenatorDurbin @SenatorKirk;#WRDA #nature;7.76849E+17;https://twitter.com/Nature_IL/status/776849297635680257;
1_4_LIBERTY;2016-09-16 20:23;0;0;@SenatorKirk what will the interpretation & implementation by EPA have on IL businesses & taxpayers with Great Lakes restoration bill?;;@SenatorKirk;;7.76849E+17;https://twitter.com/1_4_LIBERTY/status/776849030626279424;
rusincerely;2016-09-16 19:57;1;0;@Robinsky40 @SenatorKirk @JeffFlake @SpeakerRyan Donald Trump’s ‘Big Liar’ Technique http:// nyti.ms/2bYpLzB;;@Robinsky40 @SenatorKirk @JeffFlake @SpeakerRyan;;7.76843E+17;https://twitter.com/rusincerely/status/776842508194222080;
GregHinz;2016-09-16 19:48;0;0;. @SenatorKirk , @tammyduckworth spar over latest @POTUS refugee plan. Hello, Syria. http:// tinyurl.com/zdsamoo;;@SenatorKirk @tammyduckworth @POTUS;;7.7684E+17;https://twitter.com/GregHinz/status/776840134822166528;
rusincerely;2016-09-16 19:42;2;3;@Robinsky40 @CoryBooker @SenatorKirk @britsh57girl @GeralynCfnlvr @washingtonpost @thehill https:// twitter.com/sharkonline/st atus/774738458300428288 …;;@Robinsky40 @CoryBooker @SenatorKirk @britsh57girl @GeralynCfnlvr @washingtonpost @thehill;;7.76839E+17;https://twitter.com/rusincerely/status/776838644002877440;
repMNM;2016-09-16 19:23;0;0;@RodneyDavis There will be ballot box- let's call itdebacle-for those not supporting @realDonaldTrump aka support Hillary. @SenatorKirk too;;@RodneyDavis @realDonaldTrump @SenatorKirk;;7.76834E+17;https://twitter.com/repMNM/status/776833881978839040;
