# date;sentiment;objectivity;retweets;favourites
01.11.2016 21:17;-0.266666667;0.466666667;73;146
01.11.2016 21:10;0;0;0;0
01.11.2016 21:10;0.166666667;0.333333333;0;0
01.11.2016 21:08;0.1;0.475;0;1
01.11.2016 21:05;0.3125;0.416666667;0;0
01.11.2016 20:51;0.25;0.25;0;0
01.11.2016 19:47;0;0;0;0
01.11.2016 19:33;0;0;0;1
01.11.2016 19:16;0.8;1;0;1
01.11.2016 19:13;0;0;0;1
01.11.2016 19:09;0.5;0.5;0;1
01.11.2016 19:04;0;0;0;1
01.11.2016 19:04;0;0.125;122;230
01.11.2016 18:44;0.3;1;0;1
01.11.2016 18:44;0;0;3;21
01.11.2016 18:38;1;1;0;0
01.11.2016 18:26;0.3;0.4;0;2
01.11.2016 18:20;0.1;0.155555556;29;109
01.11.2016 18:18;0.2;0.55;0;0
01.11.2016 17:42;0;0;36;18
01.11.2016 17:40;0.25;0.25;0;0
01.11.2016 17:25;0.8;0.4;0;3
01.11.2016 17:24;0;0;6;2
01.11.2016 17:14;0;0;15;41
01.11.2016 17:02;0;0;0;4
01.11.2016 16:57;0;0;0;1
01.11.2016 16:57;0.78125;0.5;0;1
01.11.2016 16:53;-0.291666667;0.541666667;299;439
01.11.2016 16:50;0.068181818;0.227272727;39;36
01.11.2016 16:44;0.3;1;0;0
01.11.2016 16:39;-0.5;0.7;9;7
01.11.2016 16:39;0.4;0.533333333;2;1
01.11.2016 16:15;0;0;0;0
01.11.2016 16:13;0.218181818;0.727272727;0;0
01.11.2016 16:10;0;0;0;0
01.11.2016 14:30;0.136363636;0.454545455;2;1
01.11.2016 12:40;0;0;0;0
01.11.2016 12:12;0;0;0;2
01.11.2016 12:11;0;0;2;2
01.11.2016 12:08;0;0;0;0
01.11.2016 09:26;1;0.3;0;2
01.11.2016 07:51;0.25;0.25;0;0
01.11.2016 06:49;0;1;1;0
01.11.2016 06:48;0.6;0.8;0;0
01.11.2016 06:48;0.244444444;0.544444444;0;0
01.11.2016 06:27;0.15;0.95;0;0
01.11.2016 06:06;0.136363636;0.5;6;4
01.11.2016 04:46;0;0;0;0
01.11.2016 04:44;0;0.1;0;1
01.11.2016 03:53;0.25;0.35;0;0
01.11.2016 03:49;0.568181818;0.427272727;0;0
01.11.2016 03:45;0;0.4;0;0
01.11.2016 03:28;0.25;0.25;0;0
01.11.2016 01:08;0.033333333;0.1;0;2
01.11.2016 01:02;0.2;0.5;0;1
01.11.2016 01:02;0;0;0;1
01.11.2016 01:01;0;0.1;1;2
01.11.2016 00:40;0.8;1;33;111
01.11.2016 00:32;0.1;0.25;0;1
01.11.2016 00:01;0.266666667;0.333333333;0;1
31.10.2016 23:30;0;0;7;7
31.10.2016 23:26;0.375;0.45;0;0
31.10.2016 23:17;0;0;0;0
31.10.2016 23:13;1;0.75;11;23
31.10.2016 23:10;0;0.1;1;0
31.10.2016 22:13;0;0.1;2;2
31.10.2016 21:50;0;0;0;0
31.10.2016 21:26;0;0;1;1
31.10.2016 20:44;0.25;0.3;0;0
31.10.2016 20:39;-0.1;0.2;4;8
31.10.2016 20:04;0;0.075;4;1
31.10.2016 19:54;0;0;41;33
31.10.2016 19:50;0;0;0;0
31.10.2016 19:15;0;0;8;9
31.10.2016 19:15;0;0;8;15
31.10.2016 19:14;0.25;0.25;2;3
31.10.2016 19:11;0.5;0.5;0;0
31.10.2016 19:11;0;0;0;0
31.10.2016 19:08;0.3;0.2;0;1
31.10.2016 19:01;1;0.3;0;1
31.10.2016 18:54;-0.2;0.4;1;0
31.10.2016 18:50;0;0;0;0
31.10.2016 18:45;0;0;0;1
31.10.2016 18:42;-0.25;0.4;9;4
31.10.2016 18:25;0;0;0;0
31.10.2016 18:12;0;0;0;1
31.10.2016 18:00;0;0;0;1
31.10.2016 17:44;0;0;0;0
31.10.2016 17:41;0;0;0;0
31.10.2016 17:39;-0.294444444;0.616666667;3;0
31.10.2016 17:37;0;0;0;0
31.10.2016 17:14;0.5;0.75;1;1
31.10.2016 16:44;0;0;0;0
31.10.2016 16:39;0;0;1;1
